text,label
"URGENT: Your PayPal account is suspended. Click here to verify: http://paypa1-secure.tk",1
"Your Amazon order #12345 has shipped. Track it at amazon.com/track",0
"IRS Final Notice: You owe $2,400. Failure to respond will result in arrest. Call 1-800-555-0100",1
"Hi Sarah, are we still meeting for coffee at 2pm tomorrow?",0
"Congratulations! You have been selected as a lucky winner. Send bank details to claim $500,000.",1
"Your Netflix subscription has been renewed for $12.99. Thank you for being a member.",0
"ALERT: Unusual login detected on your account. Click here immediately to secure it: http://secure-login.ml",1
"Reminder: Team standup at 9am in conference room B.",0
"Your Microsoft account will be terminated in 24 hours. Verify: http://ms-verify.pw",1
"Project update: We've completed the first milestone ahead of schedule.",0
"FBI Cybercrime Division: Your IP address was flagged for illegal downloads. Pay $300 fine or face arrest.",1
"Your electricity bill for May is ready. Login to view and pay at utility.com",0
"We detected suspicious activity on your bank account. Provide SSN and PIN to unlock: http://banklogin.ga",1
"Thanks for joining the webinar! The recording will be emailed within 24 hours.",0
"You have won a free iPhone 15! Click now to claim before it expires: http://free-iphone.xyz",1
"Dear Customer, your warranty expires next month. Contact us to renew.",0
"FINAL WARNING: Your domain will be deleted. Wire $150 immediately to prevent loss.",1
"Good morning! Just wanted to check in on the Q3 report timeline.",0
"Your package delivery failed. Reschedule here (pay $0.50 handling): http://delivery.click",1
"Invoice #INV-2024-08 is attached for your records. Payment is due on June 30.",0
